"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"331","3.768878","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"333","3.776767","1.7.3","host","USB","79","200102000000e0ff00000000000000","URB_INTERRUPT in"
"335","3.784579","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"337","3.792737","1.7.3","host","USB","79","2001020000fedfff00000000000000","URB_INTERRUPT in"
"339","3.800796","1.7.3","host","USB","79","2001020000ffefff00000000000000","URB_INTERRUPT in"
"341","3.808852","1.7.3","host","USB","79","2001020000ffdfff00000000000000","URB_INTERRUPT in"
"343","3.816690","1.7.3","host","USB","79","2001020000fbafff00000000000000","URB_INTERRUPT in"
"345","3.824606","1.7.3","host","USB","79","2001020000fecfff00000000000000","URB_INTERRUPT in"
"347","3.832783","1.7.3","host","USB","79","2001020000fa9fff00000000000000","URB_INTERRUPT in"
"349","3.840592","1.7.3","host","USB","79","2001020000fedfff00000000000000","URB_INTERRUPT in"
"351","3.848868","1.7.3","host","USB","79","2001020000fddfff00000000000000","URB_INTERRUPT in"
"353","3.856782","1.7.3","host","USB","79","2001020000fbbfff00000000000000","URB_INTERRUPT in"
"355","3.864592","1.7.3","host","USB","79","2001020000fdefff00000000000000","URB_INTERRUPT in"
"357","3.872904","1.7.3","host","USB","79","2001020000fbdfff00000000000000","URB_INTERRUPT in"
"359","3.880595","1.7.3","host","USB","79","2001020000feefff00000000000000","URB_INTERRUPT in"
"361","3.888780","1.7.3","host","USB","79","2001020000fcefff00000000000000","URB_INTERRUPT in"
"363","3.896679","1.7.3","host","USB","79","2001020000feffff00000000000000","URB_INTERRUPT in"
"365","3.904594","1.7.3","host","USB","79","2001020000feffff00000000000000","URB_INTERRUPT in"
"367","3.912778","1.7.3","host","USB","79","2001020000fbefff00000000000000","URB_INTERRUPT in"
"369","3.920780","1.7.3","host","USB","79","2001020000fdffff00000000000000","URB_INTERRUPT in"
"371","3.928625","1.7.3","host","USB","79","2001020000fdefff00000000000000","URB_INTERRUPT in"
"373","3.936758","1.7.3","host","USB","79","2001020000f7cfff00000000000000","URB_INTERRUPT in"
"375","3.944767","1.7.3","host","USB","79","2001020000fcdfff00000000000000","URB_INTERRUPT in"
"377","3.952781","1.7.3","host","USB","79","2001020000fbefff00000000000000","URB_INTERRUPT in"
"379","3.960784","1.7.3","host","USB","79","2001020000f8cfff00000000000000","URB_INTERRUPT in"
"381","3.968568","1.7.3","host","USB","79","2001020000fcefff00000000000000","URB_INTERRUPT in"
"383","3.978681","1.7.3","host","USB","79","2001020000fcffff00000000000000","URB_INTERRUPT in"
"385","3.986666","1.7.3","host","USB","79","2001020000fbefff00000000000000","URB_INTERRUPT in"
"387","3.994684","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"389","4.002602","1.7.3","host","USB","79","2001020000feffff00000000000000","URB_INTERRUPT in"
"391","4.008591","1.7.3","host","USB","79","2001020000fdffff00000000000000","URB_INTERRUPT in"
"393","4.018667","1.7.3","host","USB","79","2001020000fe0f0000000000000000","URB_INTERRUPT in"
"395","4.026670","1.7.3","host","USB","79","2001020000fdffff00000000000000","URB_INTERRUPT in"
"397","4.034562","1.7.3","host","USB","79","2001020000fdffff00000000000000","URB_INTERRUPT in"
"399","4.042599","1.7.3","host","USB","79","2001020000faefff00000000000000","URB_INTERRUPT in"
"401","4.050593","1.7.3","host","USB","79","2001020000fcffff00000000000000","URB_INTERRUPT in"
"403","4.058599","1.7.3","host","USB","79","2001020000fcffff00000000000000","URB_INTERRUPT in"
"405","4.066595","1.7.3","host","USB","79","2001020000fcefff00000000000000","URB_INTERRUPT in"
"407","4.074558","1.7.3","host","USB","79","2001020000f8efff00000000000000","URB_INTERRUPT in"
"409","4.082603","1.7.3","host","USB","79","2001020000fcffff00000000000000","URB_INTERRUPT in"
"411","4.090596","1.7.3","host","USB","79","2001020000fdffff00000000000000","URB_INTERRUPT in"
"413","4.098869","1.7.3","host","USB","79","2001020000fe0f0000000000000000","URB_INTERRUPT in"
"415","4.106573","1.7.3","host","USB","79","2001020000fbffff00000000000000","URB_INTERRUPT in"
"417","4.114581","1.7.3","host","USB","79","2001020000fdffff00000000000000","URB_INTERRUPT in"
"419","4.122711","1.7.3","host","USB","79","2001020000fd0f0000000000000000","URB_INTERRUPT in"
"421","4.130761","1.7.3","host","USB","79","2001020000faffff00000000000000","URB_INTERRUPT in"
"423","4.138729","1.7.3","host","USB","79","2001020000fd0f0000000000000000","URB_INTERRUPT in"
"425","4.146586","1.7.3","host","USB","79","2001020000fd0f0000000000000000","URB_INTERRUPT in"
"427","4.154949","1.7.3","host","USB","79","2001020000fdffff00000000000000","URB_INTERRUPT in"
"429","4.162619","1.7.3","host","USB","79","2001020000fc0f0000000000000000","URB_INTERRUPT in"
"431","4.170776","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"433","4.178913","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"435","4.202603","1.7.3","host","USB","79","2001020000ffffff00000000000000","URB_INTERRUPT in"
"437","4.210667","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"439","4.218597","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"441","4.234598","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"443","4.242595","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"445","4.252775","1.7.3","host","USB","79","2001020000ff0f0000000000000000","URB_INTERRUPT in"
"447","6.266911","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"449","6.298887","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"451","6.306620","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"453","6.314616","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"455","6.322684","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"457","6.330622","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"459","6.338916","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"461","6.346622","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"463","6.354620","1.7.3","host","USB","79","200102000001f0ff00000000000000","URB_INTERRUPT in"
"465","6.362689","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"467","6.370614","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"469","6.378690","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"471","6.386613","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"473","6.394829","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"475","6.402622","1.7.3","host","USB","79","200102000002f0ff00000000000000","URB_INTERRUPT in"
"477","6.410689","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"479","6.420634","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"481","6.426689","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"483","6.434689","1.7.3","host","USB","79","200102000002f0ff00000000000000","URB_INTERRUPT in"
"485","6.442614","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"487","6.450698","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"489","6.458615","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"491","6.466810","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"493","6.474622","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"495","6.482588","1.7.3","host","USB","79","200102000003f0ff00000000000000","URB_INTERRUPT in"
"497","6.492721","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"499","6.500615","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"501","6.508621","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"503","6.516615","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"505","6.522623","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"507","6.530705","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"509","6.538692","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"511","6.548788","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"513","6.556622","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"515","6.564765","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"517","6.572617","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"519","6.580615","1.7.3","host","USB","79","200102000005000000000000000000","URB_INTERRUPT in"
"521","6.588716","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"523","6.598831","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"525","6.604618","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"527","6.612803","1.7.3","host","USB","79","200102000004100000000000000000","URB_INTERRUPT in"
"529","6.620802","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"531","6.628801","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"533","6.636585","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"535","6.644669","1.7.3","host","USB","79","200102000005100000000000000000","URB_INTERRUPT in"
"537","6.652803","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"539","6.660808","1.7.3","host","USB","79","200102000003100000000000000000","URB_INTERRUPT in"
"541","6.668925","1.7.3","host","USB","79","200102000006100000000000000000","URB_INTERRUPT in"
"543","6.676808","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"545","6.684930","1.7.3","host","USB","79","200102000006200000000000000000","URB_INTERRUPT in"
"547","6.692637","1.7.3","host","USB","79","200102000003000000000000000000","URB_INTERRUPT in"
"549","6.700803","1.7.3","host","USB","79","200102000003100000000000000000","URB_INTERRUPT in"
"551","6.708626","1.7.3","host","USB","79","200102000005000000000000000000","URB_INTERRUPT in"
"553","6.716895","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"555","6.724586","1.7.3","host","USB","79","200102000004000000000000000000","URB_INTERRUPT in"
"557","6.732806","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"559","6.740586","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"561","6.748708","1.7.3","host","USB","79","200102000003100000000000000000","URB_INTERRUPT in"
"563","6.756626","1.7.3","host","USB","79","200102000002000000000000000000","URB_INTERRUPT in"
"565","6.764629","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"567","6.772624","1.7.3","host","USB","79","200102000003100000000000000000","URB_INTERRUPT in"
"569","6.780626","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"571","6.788769","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"573","6.798707","1.7.3","host","USB","79","200102000004200000000000000000","URB_INTERRUPT in"
"575","6.806617","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"577","6.814612","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"579","6.820613","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"581","6.828618","1.7.3","host","USB","79","200102000003100000000000000000","URB_INTERRUPT in"
"583","6.838622","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"585","6.846657","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"587","6.854697","1.7.3","host","USB","79","200102000001000000000000000000","URB_INTERRUPT in"
"589","6.862702","1.7.3","host","USB","79","200102000002200000000000000000","URB_INTERRUPT in"
"591","6.870693","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"593","6.878692","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"595","6.886692","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"597","6.894841","1.7.3","host","USB","79","200102000002100000000000000000","URB_INTERRUPT in"
"599","6.902692","1.7.3","host","USB","79","200102000003300000000000000000","URB_INTERRUPT in"
"601","6.910625","1.7.3","host","USB","79","200102000002200000000000000000","URB_INTERRUPT in"
"603","6.918693","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"605","6.926618","1.7.3","host","USB","79","200102000002200000000000000000","URB_INTERRUPT in"
"607","6.934624","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"609","6.942698","1.7.3","host","USB","79","200102000002200000000000000000","URB_INTERRUPT in"
"611","6.950691","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"613","6.958707","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"615","6.966631","1.7.3","host","USB","79","200102000002400000000000000000","URB_INTERRUPT in"
"617","6.974727","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"619","6.982615","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"621","6.990605","1.7.3","host","USB","79","200102000001300000000000000000","URB_INTERRUPT in"
"623","6.998711","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"625","7.006619","1.7.3","host","USB","79","200102000002300000000000000000","URB_INTERRUPT in"
"627","7.014626","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"629","7.022694","1.7.3","host","USB","79","200102000001300000000000000000","URB_INTERRUPT in"
"631","7.030629","1.7.3","host","USB","79","200102000001200000000000000000","URB_INTERRUPT in"
"633","7.038868","1.7.3","host","USB","79","200102000001100000000000000000","URB_INTERRUPT in"
"635","7.046631","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"637","7.054621","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"639","7.062693","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"641","7.072811","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"643","7.080705","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"645","7.088805","1.7.3","host","USB","79","200102000001300000000000000000","URB_INTERRUPT in"
"647","7.094628","1.7.3","host","USB","79","200102000000300000000000000000","URB_INTERRUPT in"
"649","7.102699","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"651","7.110834","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"653","7.120940","1.7.3","host","USB","79","200102000000300000000000000000","URB_INTERRUPT in"
"655","7.128805","1.7.3","host","USB","79","200102000000300000000000000000","URB_INTERRUPT in"
"657","7.136898","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"659","7.144622","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"661","7.152795","1.7.3","host","USB","79","2001020000ff2f0000000000000000","URB_INTERRUPT in"
"663","7.160714","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"665","7.168795","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"667","7.176804","1.7.3","host","USB","79","2001020000ff1f0000000000000000","URB_INTERRUPT in"
"669","7.184924","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"671","7.192860","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"673","7.200807","1.7.3","host","USB","79","200102000000300000000000000000","URB_INTERRUPT in"
"675","7.208634","1.7.3","host","USB","79","2001020000ff2f0000000000000000","URB_INTERRUPT in"
"677","7.216805","1.7.3","host","USB","79","200102000000300000000000000000","URB_INTERRUPT in"
"679","7.224624","1.7.3","host","USB","79","2001020000ff3f0000000000000000","URB_INTERRUPT in"
"681","7.232796","1.7.3","host","USB","79","2001020000ff4f0000000000000000","URB_INTERRUPT in"
"683","7.240624","1.7.3","host","USB","79","2001020000ff2f0000000000000000","URB_INTERRUPT in"
"685","7.248795","1.7.3","host","USB","79","2001020000ff3f0000000000000000","URB_INTERRUPT in"
"687","7.256809","1.7.3","host","USB","79","2001020000ff2f0000000000000000","URB_INTERRUPT in"
"689","7.264583","1.7.3","host","USB","79","2001020000ff2f0000000000000000","URB_INTERRUPT in"
